time,open,high,low,close,Volume,Volume MA,%K,%D,RSI
1294012800,0.29,0.2999,0.29,0.295,1425.19,6399.559200000019,90.1639344262295,95.61202185792347,62.4880032459597
1294099200,0.29601,0.29895,0.29004,0.29895,1879.003,6309.275350000019,96.57808982631053,95.017833220792,63.69506623011693
1294185600,0.29004,0.29896093,0.29004,0.29895138,357.157,5609.366650000019,96.58039335608598,94.44080586954196,63.69550575838827
1294272000,0.29899051,0.29899869,0.29,0.298,3456.489,5755.915450000019,94.8875691243258,96.0153507689074,63.12808736212829
1294358400,0.29782,0.32095669,0.29782,0.32,42601.118,7877.5159000000185,98.71700084850221,96.72832110963795,69.82273653199888
1294444800,0.30902381,0.3229,0.30902381,0.3229,1629.438,7858.949950000018,100,97.86818999094264,70.58099988201967
1294531200,0.32291,0.323,0.32291,0.323,1691.366,7409.383000000019,100,99.57233361616734,70.6084250789101
1294617600,0.32297607,0.329,0.31750675,0.32659,10355.828,7465.88495000002,96.43280469768534,98.81093489922841,71.63088607386811
1294704000,0.32659,0.32659,0.31761,0.32659,4857.8,7518.752050000019,95.84482758620686,97.42587742796404,71.63088607386811
1294790400,0.3265,0.3557,0.31799453,0.3188,31359.765,8654.23290000002,43.835616438356126,78.70441624074941,65.8646959412016
1294876800,0.31802803,0.405,0.3176,0.3176,20118.897,9408.51530000002,24.000000000000004,54.56014800818763,64.99671830308458
1294963200,0.3176,0.40689693,0.3176,0.4,27130.957,10729.913150000019,94.0999904787919,53.978535639049305,82.27242507211557
1295049600,0.4,0.4,0.385,0.38603004,1515.661,9976.447700000019,82.14932590616368,66.7497721283185,75.47157632679924
1295136000,0.39980177,0.4,0.38605036,0.38679,2778.71,9868.608700000019,82.79943707674789,86.34958448723444,75.58978807009339
1295222400,0.38679,0.38679,0.31547273,0.3495,18241.146,10008.730600000019,50.89954030443741,71.9494344291163,60.246761912366715
1295308800,0.3495,0.3495,0.31005026,0.31299,15671.508,9861.848800000018,19.66689801006751,51.12195846375089,49.62588661635151
1295395200,0.31299,0.31299,0.305,0.31299,7291.627,10099.43650000002,19.66689801006751,30.077778774857435,49.6258866163515
1295481600,0.31299,0.39,0.31,0.39,19881.979,11020.849500000018,84.50916247826193,41.28098616613227,64.80416539373904
1295568000,0.3899,0.4299,0.368,0.41990695,8477.545,11303.66460000002,91.99915932746197,65.39173993859708,68.7430349750057
1295654400,0.41,0.44413167,0.39228326,0.44413167,10534.27,11562.77270000002,100,92.16944060190792,71.5230382625395
1295740800,0.4443,0.4443,0.4200638,0.4424,1148.402,11548.933300000019,98.63603732950469,96.8783988856555,71.03666230263602
1295827200,0.4424,0.4424,0.38991089,0.4199,11061.936,12008.079950000018,82.483847810481,93.70662837999517,64.86452658373729
1295913600,0.4223,0.425,0.41,0.41,2163.718,12098.408000000018,75.37688442211055,85.49892318736535,62.29959660305956
1296000000,0.41123,0.42,0.40034261,0.41537167,15564.808,12703.823950000016,79.2330725053841,79.03126824599184,63.15103334667342
1296086400,0.40938556,0.43952845,0.40851,0.4212,27708.195,11959.177800000016,83.41708542713572,79.3423474515434,64.09844589361384
1296172800,0.4223,0.446,0.4212,0.446,5324.497,12143.930750000018,100,87.5500526441732,67.88242551653221
1296259200,0.445,0.445,0.43,0.439,1448.382,12131.781550000018,95.0354609929078,92.81751547334778,65.77511657777546
1296345600,0.445,0.48,0.445,0.47987775,10383.593,12133.169800000016,99.93014285714285,98.32186795001682,71.36541915073437
1296432000,0.47981,0.85,0.47,0.53251607,63516.079,15066.083750000016,41.74606788990826,78.90389057998625,76.65366631897258
1296518400,0.52854882,0.8442,0.52854882,0.70456224,31562.117,15076.201350000018,73.31417247706423,71.66346107470505,85.85115903736593
1296604800,0.71,0.76001,0.69,0.716,5627.48,14351.630500000017,75.18518518518518,63.41514185071916,86.23928475972535
1296691200,0.7218,0.746,0.65725834,0.69314573,8524.501,13421.307700000016,67.45762033195021,71.98565933139982,81.43244031367566
1296777600,0.72,0.8501,0.671,0.811,42222.189,15456.634100000016,91.50349298791537,78.0487661683502,85.82131767982746
1296864000,0.83900079,0.9167,0.8115,0.91285843,15786.811,16107.039150000015,99.27075751433055,86.07729027806532,88.3781884838525
1296950400,0.92,0.92,0.84029506,0.89833464,8744.106,15632.187150000012,95.91288340181143,95.56237796801906,85.99683937401667
1297036800,0.89968,0.9,0.83704283,0.89,2264.28,14961.825750000015,94.22696557822451,96.47020216478877,84.58826539685197
1297123200,0.89,0.918,0.8617,0.918,7021.288,14948.308800000017,99.6151310385483,96.58499333952803,85.45045438149107
1297209600,0.89206037,1.07000821,0.83104114,1.02826402,49632.504,16435.835050000016,93.68944777643466,95.8438481310691,88.24044275174721
1297296000,1.086,1.1,0.87229147,0.9730837,26559.641,17339.939850000017,81.30284325279905,91.53580735592728,79.97541112284375
1297382400,0.94961915,1.0899,0.92903333,1.07000629,13299.179,17478.18530000002,95.52332686567162,90.17187263163505,82.98928391034852
1297468800,1.01,1.08,0.9906,1.07958852,4118.92,17626.711200000016,96.88374351145036,91.2366378766403,83.25757480843134
1297555200,1.0511,1.08,1.02019,1.05,3240.64,17235.64640000002,92.06349206349206,94.82352081353797,79.10853120346187
1297641600,1.04,1.08,1.03317843,1.07400186,7096.548,17482.287900000018,95.45050550074987,94.79924702523071,79.9800823309337
1297728000,1.05833333,1.0821374,1.03559986,1.05,8616.577,17134.876350000017,88.70673249948965,92.07357668791047,76.54130208096241
1297814400,1.05,1.05019,1.02447832,1.02447832,7192.375,16109.085350000018,82.94226931344116,89.03316910456017,72.94964548196243
1297900800,1.045,1.05019,1.02007739,1.04,4009.844,16043.352700000018,86.013986013986,85.88766260897222,73.75621099437757
1297987200,1.03434939,1.04019,0.79063217,0.8989,36948.156,17818.34140000002,34.99647329200325,67.98424287314343,57.09110419482085
1298073600,0.8376,0.98,0.8376,0.94898,3798.708,17489.09715000002,51.18432320516326,57.39826083705079,60.50227578566214
1298160000,0.94898,0.94898,0.83,0.86368468,9974.046,14811.99550000002,23.613479785535553,36.59809209423398,52.802837310932055
1298246400,0.8313,0.8796,0.8313,0.8345,1700.121,13318.89570000002,14.179829234345418,29.659210741681363,50.43769649801825
1298332800,0.85,0.94001,0.8313,0.87023,12095.264,13642.284900000019,25.72918780857077,21.174165609483868,53.20142354795488
1298419200,0.90999,0.94248385,0.87023,0.9,6718.872,13552.003450000018,35.352037088019145,25.087018043645063,55.43141409942843
1298505600,0.93676453,0.99978856,0.9,0.99189349,13418.685,12111.828250000017,67.25123779592347,42.77748756417108,61.525807540897894
1298592000,0.97,0.99979,0.91109,0.91113011,4461.061,11545.540750000018,41.33645904054622,47.97991130816289,54.475367469582935
1298678400,0.91111769,0.97,0.91061,0.958,4744.406,11345.555750000018,57.41503505786157,55.334243964777045,57.51785934259813
1298764800,0.958,0.958,0.89,0.89,23268.75,12395.779250000018,34.08783780654641,44.27977730165136,52.07970924076569
1298851200,0.89009,0.92,0.84688966,0.86206639,4651.674,12277.298550000018,24.50529618285065,38.6693896824195,49.98885156387988
1298937600,0.8601,0.9696,0.8502,0.9202127,22569.783,10924.162500000017,49.923568092705985,36.17223402736764,54.11815302863278
1299024000,0.92021,0.94,0.9102,0.9399,2741.873,9733.274100000017,57.5085059079127,43.97912339448973,55.45911747599534
1299110400,0.91272877,0.9399,0.91,0.93909,2746.67,9205.648650000017,59.48834785107725,55.64014061723193,55.38739243020352
1299196800,0.91774202,0.939,0.9011152,0.9011152,2711.885,9135.296900000018,41.88420990635493,52.96035455511491,51.99244333478275
1299283200,0.90999871,0.9189,0.83239999,0.9103,12570.588,9601.794300000016,47.29371576653516,49.555424507989066,52.74686109201215
